titulo	direccion	precio	Baños	Piso de duela	Armarios empotrados	Roof Garden	Totalmente cercado	Estacionamientos	Estacionamiento techado	Construidos (m²)	Amueblado	Recámaras	Jardín	Internet de banda ancha disponible	Estacionamiento vigilado	Calefacción	Balcón	Acceso a TV de paga	Patio	Garaje	Jacuzzi	Estudio	Piso de loseta	Sistema de alarma	Cancha de tenis	Cocina Equipada	Cuarto de servicio	Gimnasio	Estacionamiento abierto	Área de juegos infantiles	Aire acondicionado	Terraza	Área de entretenimiento al aire libre	Estacionamiento para Visitas	Intercomunicador	Chimenea	Terreno (m²)	Alberca
Casa en Venta en Cumbres 2 Sector	Cumbres, Monterrey	7200000.0	6.0	False	False	False	False	4.0	False	411.7	False	7.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	390.0	False
Casa en Venta en Cumbres San Agustin	Cumbres San Agustin, Monterrey	6000000.0	3.0	False	False	False	False	3.0	False	415.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	240.0	False
Casa en Venta Puesta Del Sol, Guadalupe	Puesta Del Sol, Guadalupe	6900000.0	4.5	True	True	False	True	2.0	True	400.0	False	5.0	False	True	False	True	True	True	False	False	True	True	False	True	False	True	True	True	False	True	True	True	True	False	False	False	140.0	False
VENTA - Casa contemporánea acabados de lujo - Villa Montaña San Pedro Grza G. NL	Villa Montaña, San Pedro Garza García	39950000.0	4.0	False	False	False	False	5.0	False	918.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	602.0	False
Venta de casa en el Centro de Monterrey	Monterrey Centro, Monterrey	4700000.0	4.0	True	True	False	False	1.0	False	208.0	False	5.0	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	145.65	False
CASA EN PREVENTA LA HERRADURA RESIDENCIAL	Club de Golf La Herradura, Monterrey	26000000.0	6.0	False	False	False	False	4.0	False	715.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	457.0	False
Quinta en venta en Ciénega de Flores	Villas Campestres, Ciénega de Flores	4500000.0	3.2	False	False	False	False	2.8	False	411.7	False	1.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1650.0	False
Casa en venta en San Nicolás Centro, UANL, Av. Universidad, Av. Sendero.	San Nicolás de los Garza Centro, San Nicolás de los Garza	4300000.0	4.0	False	False	False	False	2.0	True	262.0	False	3.0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	180.0	False
Almena II, Valle Poniente -CASA EN VENTA FRACCIONAMIENTO PRIVADO, SANTA CATARINA	Olinca, Santa Catarina	23800000.0	5.0	False	False	False	False	2.8	False	572.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	319.0	False
Residencia en Fraccionamiento exclusivo,San Pedro Garza García muy cerca de Av. Alfon...	Palo Blanco, San Pedro Garza García	33000000.0	4.0	False	False	False	False	2.8	False	630.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	400.0	False
Casa en venta Siete Colinas, zona Guadalupe.	Guadalupe	4200000.0	2.5	False	False	False	True	2.0	False	188.0	False	3.0	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	True	True	False	True	True	False	False	129.0	True
CASA EN VENTA VALLE DE SAN ANGEL SAN PEDRO GARZA GARCIA	Valle de San Angel Rincón Francés, San Pedro Garza García	17500000.0	3.0	False	False	False	False	2.8	False	470.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	552.0	False
CASA EN ESQUINA EN VENTA EN CUMBRES ELITE 8	Cumbres Elite, Monterrey	7900000.0	4.0	False	False	False	False	2.0	False	334.0	False	3.3	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	171.0	False
Casa nueva en venta en valle de cumbres premier	Valle de Cumbres Premier, García	5736000.0	3.0	False	False	False	True	2.0	True	216.0	False	3.0	True	False	False	False	True	True	True	False	False	True	True	False	False	False	False	False	False	True	False	False	True	True	False	False	180.0	True
Propiedad a 11 min del Autódromo, LOS PORTALES en Zuazua terreno de 375 M2	Valle de Zuazua, General Zuazua	4500000.0	4.0	False	False	False	False	2.8	False	240.0	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	375.0	False
Col. Tampiquito - CASA EN VENTA SAN PEDRO GARZA GARCÍA, DEL VALLE	Tampiquito, San Pedro Garza García	7300000.0	3.0	False	False	False	False	2.8	False	203.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	144.0	False
CASA EN VENTA SIERRA ALTA 9no Sector	Sierra Alta 1a Etapa, Monterrey	38000000.0	6.0	False	False	False	False	5.0	False	1300.0	False	5.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	693.0	False
CASA EN VENTA EN VALLE PONIENTE	Los Cenizos, Santa Catarina	13000000.0	4.0	False	False	False	False	2.0	False	357.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	202.0	False
Quinta - Los Villarreales	Los Villarreales, Salinas Victoria	2900000.0	4.0	False	False	False	False	2.8	False	200.0	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1200.0	False
Casa - Fraccionamiento Cumbres Britania	Cumbres Britania, García	3100000.0	3.0	False	False	False	False	2.8	False	200.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	120.0	False
HERMOSA CASA  NUEVA MITICA RESIDENCIAL, SANTIAGO, N.L.	El Barro, Santiago	8200000.0	4.0	False	False	False	False	3.0	False	394.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	222.0	False
CASA EN VENTA CUMBRES ELITE PREMIER	García	8850000.0	4.0	False	False	False	False	2.0	False	460.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	295.0	False
VENTA  CASA EN  MIRADOR RESIDENCIAL	Mirador, Monterrey	5550000.0	4.0	False	False	False	False	2.0	False	380.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	231.0	False
CASA EN VENTA SIERRA ALTA RINCON DE LA MONTAÑA	Rincón de La Montaña, San Pedro Garza García	20000000.0	5.0	False	False	False	False	4.0	False	711.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	700.0	False
Casa en  Venta	Real de Cumbres, Monterrey	2405000.0	1.0	False	False	False	False	2.8	False	117.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	108.0	False
Casa en Venta en Terralta	Rinconada, García	19900000.0	3.5	False	True	False	False	2.0	False	525.0	False	3.0	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	500.0	False
Casa en Venta en Jardines de Valle Alto, Carretera Nacional	Valle Alto, Monterrey	12899990.0	5.0	False	False	False	False	4.0	False	641.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	429.0	False
Casa en Venta en La Estanzuela, Carretera Nacional	Monterrey Centro, Monterrey	10417837.0	5.0	False	False	False	False	3.0	False	393.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	250.0	False
Casa en Venta en Dominio Cumbres (Preventa)	Cumbres, Monterrey	4890000.0	3.0	False	False	False	False	3.0	False	270.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	175.0	False
Casa Campestre en Venta en Sierra Vista, Santiago	Santiago Centro, Santiago	5800000.0	3.0	False	False	False	False	10.0	False	249.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	4200.0	False
Venta de Propiedad en San Pedro con 8 Lofts para Rentar	San Pedro Garza Garcia Centro, San Pedro Garza García	9000000.0	8.0	False	False	False	False	2.8	False	295.0	False	8.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	128.0	False
JC-CASA DE RECUPERACION BANCARIA EN NUEVO LEON 5531430290	Juárez	577767.0	1.0	False	False	False	False	1.0	False	160.0	False	2.0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	100.0	False
VR/ VENTA CASA EN LA CIUDADELA JUAREZ NUEVO LEON/ AS	La Ciudadela, Juárez	511326.0	1.0	False	False	False	False	1.0	False	85.0	False	2.0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	85.0	False
Casa en venta privada La Perla sur de Monterrey	Monterrey Centro, Monterrey	5600000.0	3.0	False	False	False	False	2.0	False	196.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	140.0	False
Casa en Venta Col. Fuentes del Valle , San Pedro Garza García N.L.	Fuentes del Valle, San Pedro Garza García	32000000.0	4.0	False	False	False	False	3.0	False	624.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	510.0	False
Casa en Venta Puerta de Hierro , Monterrey N.L.	Puerta de Hierro, Monterrey	4650000.0	2.0	False	False	False	False	2.0	False	220.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	152.0	False
CASA EN VENTA ALAMEDAS DE LA HACIENDA GUADALUPE NUEVO LEON	Alamedas de La Hacienda, Guadalupe	2300000.0	2.0	False	False	False	False	2.0	False	134.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	186.56	False
Casa En Venta En Amorada Privada Residencial, Santiago, Nuevo León	Santiago Centro, Santiago	7050000.0	3.0	False	False	False	False	3.0	False	300.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	289.0	False
Casa en venta La Joya, Carretera Nacional	La Joya, Monterrey	20500000.0	6.0	False	False	False	False	3.0	False	750.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	424.0	False
Casa En Venta En Cima Del Bosque, Monterrey, Nuevo León	Cima del Bosque, Monterrey	11900000.0	4.0	False	False	False	False	3.0	False	509.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	320.0	False
Casa En Venta En Amorada Privada Residencial, Santiago, Nuevo León	Santiago Centro, Santiago	7300000.0	3.0	False	False	False	False	3.0	False	357.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	280.0	False
CASA EN VENTA PASEO DEL VERGEL PRIVADA GAUDI	Paseo del Vergel, Monterrey	7225000.0	4.0	False	False	False	False	2.0	False	303.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	148.0	False
CASA EN VENTA EN SAN PEDRO GARZA GARCIA	Bosques de San Angel Sector Palmillas, San Pedro Garza García	35000000.0	3.2	False	False	False	False	2.8	False	1040.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	801.0	False
Casa En Venta En La Joya Privada Residencial, Monterrey, Nuevo León	La Joya, Monterrey	12500000.0	3.0	False	False	False	False	3.0	False	397.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	297.0	False
Casa En Venta En La Joya Privada Residencial, Monterrey, Nuevo León	La Joya, Monterrey	14500000.0	5.0	False	False	False	False	2.0	False	541.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	472.0	False
Casa en venta Aires del Vergel Carretera Nacional	Privada Residencial Bosques Del Vergel, Monterrey	8995000.0	4.0	False	False	False	False	3.0	False	365.0	False	8.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	265.0	False
Casa en Venta Fracc Los Reyes, Juarez	Los Reyes, Juárez	775000.0	1.5	False	False	False	False	1.0	False	74.0	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	90.0	False
Casa en venta en Monterrey, Solidaridad, Barrio Antiguo, Lincoln	Solidaridad Barrio Del Centro, Monterrey	999000.0	2.0	False	False	False	False	2.0	False	54.0	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	91.0	False
Venta casa Del Valle, San Pedro Garza García	Del Valle, San Pedro Garza García	40000000.0	9.5	False	False	False	False	4.0	True	900.0	True	9.0	True	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	500.0	True
CASA EN VENTA EN MONTERREY, sobre AVENIDA, CENTRO de MONTERREY, BODEGA, CASA,	Centro, Monterrey	6999000.0	3.0	False	False	False	False	1.0	False	521.0	False	6.0	False	False	False	False	False	True	True	False	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	521.0	False
Casa en venta en el CENTRO de San Nicolás,Cuahtemoc,Chapultepec,Roble,UANL	Centro de Desarrollo Comunitario CEDECO, San Nicolás de los Garza	4300000.0	3.0	False	False	False	False	3.0	True	262.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	180.0	False
RZ venta de casa en san Pedro	Fuentes del Valle, San Pedro Garza García	31800000.0	4.0	False	False	False	False	2.0	False	630.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	480.0	False
ALFONSO VENTA DE BODEGA EN COLONIA MORELOS	Morelos, Monterrey	3000000.0	3.2	False	False	False	False	1.0	False	200.0	False	3.3	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	5587.2	False
Casa En Venta En Amorada Privada Residencial, Santiago, Nuevo León	Santiago Centro, Santiago	7500000.0	3.0	False	False	False	False	3.0	False	300.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	300.0	False
CASA EN VENTA HDA SAN AGUSTIN SAN PEDRO GARZA GARCIA	Hacienda San Agustin, San Pedro Garza García	25000000.0	6.0	False	False	False	False	2.8	False	700.0	False	5.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	384.0	False
PRO5476 Casas en Venta, Carrizalejo en San Pedro Garza Garcia	Carrizalejo, San Pedro Garza García	29700000.0	4.0	False	False	False	False	3.0	False	600.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	400.0	False
CASA EN VENTA LA JOYA	La Joya, Monterrey	12500000.0	3.5	False	True	False	False	3.0	True	459.0	False	6.5	True	False	False	False	True	False	True	False	False	True	True	False	False	False	True	False	False	True	False	True	True	True	False	True	366.0	True
Casa en VENTA Priv Sienna Carr Nacional Monterrey	Monterrey Centro, Monterrey	12450000.0	3.0	False	False	False	False	3.0	False	450.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	336.0	False
Quinta campestre en venta zona Allende	Los Guzmán, Allende	14000000.0	3.2	False	False	False	False	10.0	False	411.7	False	3.3	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	2026.0	False
PRO5043 Casas en Venta, Aurea Residencial en Monterrey	Monterrey Centro, Monterrey	11900000.0	4.0	False	False	False	False	3.0	False	464.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	410.0	False
PRO5316 Casas en Venta, Contry Las Aguilas en Guadalupe	Las Águilas, Guadalupe	11940000.0	6.0	False	False	False	False	3.0	False	401.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	505.0	False
casa en VENTA en esquina priv Altares zona carr nacional Monterrey	Monterrey Centro, Monterrey	6490000.0	4.0	False	False	False	False	2.0	False	283.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	212.0	False
Casa - Cumbres 5to Sector	Cumbres, Monterrey	7900000.0	2.0	False	False	False	False	2.8	False	484.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	253.0	False
Casa - Cumbres 5to Sector	Cumbres, Monterrey	6900000.0	3.0	False	False	False	False	2.8	False	330.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	190.0	False
Casa - Valles de Cristal	Valle de Cristal, Monterrey	7800000.0	2.0	False	False	False	False	2.8	False	340.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	308.0	False
(D.I) CASA EN SAN MIGUELITO NUEVO LEON	San Miguelito, Juárez	605800.0	1.0	False	True	False	False	1.0	False	60.0	False	2.0	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	110.0	False
Balcones del Campestre -RESIDENCIA NUEVA EN VENTA  EN SAN PEDRO GARZA GARCIA	Balcones Del Campestre, San Pedro Garza García	26500000.0	5.0	False	False	False	False	2.8	False	572.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	385.0	False
Casa en Venta en Cerradas de Cumbres en Monterrey	Cumbres, Monterrey	3400000.0	3.0	False	False	False	False	2.0	False	206.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	156.0	False
QUINTA EN VENTA CADEREYTA,PRADERAS DE LA BOCA,LAS TINAJAS,PRESA LA BOCA,PRIVADA	Real de Cadereyta, Cadereyta Jiménez	3999999.0	3.0	False	True	True	False	6.0	True	200.0	True	2.0	True	True	False	False	False	True	True	False	False	False	False	False	False	True	False	False	True	False	True	True	False	True	False	False	1404.0	False
Casa - Carolco	Carolco, Monterrey	13500000.0	4.0	False	False	False	False	2.8	False	550.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	454.0	False
CASA EN VENTA EN CUMBRES PUERTA DE HIERRO	Monterrey	3300000.0	2.5	False	False	False	False	2.0	True	188.0	False	3.0	False	False	True	True	False	False	True	False	False	False	False	False	False	True	False	False	False	True	True	True	True	True	False	False	133.0	False
Casa en Venta en Valle Alto	Valle Alto, Monterrey	12899900.0	5.0	False	False	False	False	3.0	False	651.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	408.0	False
Casa en Venta en Dominio Cumbres, García	Centro Villa de Garcia (casco), García	2874999.0	2.0	False	False	False	False	2.0	False	194.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	119.0	False
Casa en Venta Bosques del Valle San Pedro Garza García Nuevo León	Bosques Del Valle, San Pedro Garza García	25800000.0	3.0	False	False	False	False	2.0	False	550.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	500.0	False
Quinta, Rancho, Hacienda En Venta En San Andres, Santiago, Nuevo León	San Andres, Santiago	14900000.0	3.0	False	False	False	False	10.0	False	710.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1426.0	False
Quinta Campestre en venta, ubicada en  Portal del Norte en Zuazua, N.L.	Portal del Norte, General Zuazua	7000000.0	5.0	False	False	False	True	2.0	False	750.0	False	3.0	True	False	False	False	True	False	True	False	False	True	True	False	False	False	False	False	True	True	False	True	True	False	False	False	1500.0	True
Casa en Venta en Nexxus Cristal Escobedo Nuevo León	Nexxus XXI, General Escobedo	3450000.0	2.5	False	False	False	False	3.0	True	216.0	False	3.0	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	133.0	False
CasasenVentaenCumbres Elite	Cumbres Elite, Monterrey	7500000.0	4.0	False	False	False	False	2.8	False	300.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	162.0	False
Venta de Casa en Las Lomas Privada Santa Cruz García Nuevo León	Las Lomas, García	3050000.0	2.5	False	False	False	False	2.0	False	162.0	False	6.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	133.0	False
Casa En Venta En Amorada Privada Residencial, Santiago, Nuevo León	Santiago Centro, Santiago	7000000.0	3.0	False	False	False	False	2.0	False	350.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	250.0	False
VENTA - Preciosa casa con acabados de lujo Lomas del Valle	Lomas Del Valle, San Pedro Garza García	20750000.0	4.0	False	False	False	False	3.0	False	420.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	300.0	False
CASA EN VENTA EN SANTIAGO	Cieneguilla, Santiago	29000000.0	5.0	False	False	False	False	2.8	False	1300.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	5800.0	False
Casa En Venta En Condado De Asturias, Santiago, Nuevo León	Condado de Asturias, Santiago	4990000.0	3.0	False	False	False	False	2.0	False	214.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	201.0	False
CASA EN VENTA zona LOS CRISTALES, LAS ESMERALDAS	Las Cristalinas, Santiago	9300000.0	3.0	False	False	False	False	3.0	False	350.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	250.0	False
Casa en Venta Mítica	Santiago	8500000.0	6.0	False	False	False	False	2.0	True	364.0	False	3.0	True	False	False	False	False	False	True	False	False	True	False	False	False	True	True	False	False	False	False	True	False	False	False	True	200.0	True
Casa en Venta, Carretera Nacional.	Centro, Monterrey	8300000.0	3.0	False	False	False	False	3.0	False	361.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	209.0	False
CASA EN VENTA EN BOSQUES DEL  VALLE	Bosques Del Valle, San Pedro Garza García	27000000.0	5.0	False	False	False	False	3.0	False	522.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	600.0	False
CASA EN VENTA EN LASTESELAS	El Ranchito, Santiago	6900000.0	4.0	False	False	False	False	2.0	False	340.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	250.0	False
Casa nueva en venta en Cumbres Elite premiere Privada Vesubio	Cumbres Elite Premier, García	5100000.0	5.0	False	False	False	False	2.0	True	291.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	149.0	False
CASA EN VENTA EN COL. REAL DE CUMBRES, Monterrey N.L.	Real de Cumbres, Monterrey	7150000.0	5.0	False	False	False	False	2.8	False	363.0	False	6.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	159.0	False
Propiedad en Venta con excelente ubicación en Linda Vista 592 m2 en Guadalupe N.L.	Lindavista, Guadalupe	5000000.0	6.0	False	False	False	False	2.8	False	592.0	False	6.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	250.0	False
AO VENTA DE LUJOSA RESIDENCIA EN SAN PEDRO	San Patricio, San Pedro Garza García	65000000.0	6.0	False	False	False	False	3.0	False	650.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1008.0	False
RZ VENTA DE CASA EN PUNTA LA BOCA	Punta La Boca, Santiago	10800000.0	4.0	False	False	False	False	2.0	False	453.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	315.0	False
Casa en venta en vista hermosa monterrey nuevo leon	Vista Hermosa, Monterrey	10590000.0	5.0	False	False	False	False	2.8	False	432.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	294.0	False
Local en venta en CENTRO DE LINARES NUEVO LEÓN, SOBRE AVENIDA.	Linares Centro, Linares	3100000.0	6.0	False	False	False	False	10.0	False	578.0	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	396.0	False
Col. Laderas del Mirador - CASA EN VENTA ZONA VALLE ORIENTE EN MONTERREY	Laderas Del Mirador, Monterrey	2950000.0	3.0	False	False	False	False	2.8	False	228.0	False	7.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	205.0	False
Casa en venta en San Nicolás, Lomas del Roble, Plaza Fiesta Anáhuac,UANL.	Lomas Del Roble, San Nicolás de los Garza	7750000.0	45.0	False	False	False	False	4.0	True	410.0	False	4.0	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	False	False	False	True	False	False	False	False	False	320.0	True
Casa en VENTA Zona San Pedro Col Antigua Hda San Agustin	Antigua Hacienda San Agustin, San Pedro Garza García	45000000.0	5.0	False	False	False	False	7.0	False	750.0	False	5.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1612.0	False
Casa en pre venta priv carolco zona carr nacional Monterrey	Carolco, Monterrey	15000000.0	3.0	False	False	False	False	3.0	False	400.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	520.0	False
CASA VALLE SAGRADO	Valle Dorado, San Nicolás de los Garza	1680000.0	2.0	False	False	False	False	2.0	True	150.0	False	3.0	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	False	True	False	False	False	112.0	False
CASA EN VENTA ZONA SAN PEDRO, COLINAS DE LA SIERRA	San Pedro Garza García	14000000.0	4.0	False	True	False	False	4.0	True	356.0	False	3.0	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	True	False	False	False	False	235.0	False
Casa en Venta en Valle Alto	Valle Alto, Monterrey	11933796.0	5.0	False	False	False	False	3.0	False	434.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	246.0	False
Casa en Venta en Dominio Cumbres, García	Centro Villa de Garcia (casco), García	3749000.0	3.0	False	False	False	False	2.0	False	250.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	152.0	False
