titulo	direccion	precio	Baños	Piso de duela	Armarios empotrados	Roof Garden	Totalmente cercado	Estacionamientos	Estacionamiento techado	Construidos (m²)	Nivel	Mantenimiento	Habitaciones (en total)	Superficie construida (m²)	Amueblado	Recámaras	Jardín	Internet de banda ancha disponible	Estacionamiento vigilado	Calefacción	Disponible desde	Balcón	Acceso a TV de paga	Patio	Garaje	Jacuzzi	Estudio	Piso de loseta	Sistema de alarma	Cancha de tenis	Cocina Equipada	Cuarto de servicio	Gimnasio	Estacionamiento abierto	Área de juegos infantiles	Construido (Año)	Aire acondicionado	Condiciones de Precio	Terraza	Área de entretenimiento al aire libre	Estacionamiento para Visitas	Intercomunicador	Chimenea	Terreno (m²)	Alberca
Valle de las Palmas Apodaca	Valle de las Palmas I, Apodaca	$ 2,435,000	2							156						3																												90	
CASA EN VENTA RINCONADA COLONIAL ZONA APOCADA NUEVO LEON	Rinconada Colonial, Apodaca	$ 4,200,000	3							208						3																												120	
Casa en venta Las Cruces Golf Country Club, Apodaca	Aeropuerto Internacional Mariano Escobedo, Apodaca	$ 5,850,000	3					5		343						3																												225	
Valle de las Palmas Apodaca	Valle de las Palmas II, Apodaca	$ 2,200,000	2							157						3																												90	
Casa ideal en Apodaca, en esquina, Colonia Bosque Boreal	Bosque Boreal, Apodaca	$ 2,000,000	2					2		142						3																				2017								135	
CASA EN VENTA EN APODACA FRENTE A PARQUE	Rincón de San Miguel, Apodaca	$ 1,150,000	1					2		63						2																												90	
Buscas vivir cerca de comercio , transporte y escuelas?	San Miguel Golondrinas I, Apodaca	$ 1,413,000	3					1		154						3																												90	
Modernas Casas en Venta en Apodaca	Apodaca Centro, Apodaca	$ 2,495,000	2					2		159						3																												112	
CasasenVentaenApodaca Centro	Apodaca Centro, Apodaca	$ 3,100,000	2							186						3																												135	
IP VENTA DE CASAS TOTALMENTE NUEVAS EN APODACA	Apodaca Centro, Apodaca	$ 2,496,000	2					2		148						3																				2023								112	
Casa EN REMATE  - Hacienda Santa Fe Nuevo León	Hacienda Santa Fe, Apodaca	$ 1,343,500	2							185						3																												98	
CASA EN VENTA EN APODACA	Privalia Concordia, Apodaca	$ 3,100,000	2					2		170						3																												127	
Venta casa RESIDENCIAL APODACA 1er sector	Residencial Apodaca, Apodaca	$ 1,950,000						1		114						2																												102	
Casa en venta en Los Amarantos, Apodaca	Los Amarantos, Apodaca	$ 1,600,000	1													3																												90	
Casa en  venta Residencial Reserva Acanto sector Olivo	Acanto Residencial, Apodaca	$ 2,390,000	4							162						3																												90	
CASA VENTA RINCONADA COLONIAL APODACA N. L.	Rinconada Colonial, Apodaca	$ 4,500,000	3					2		195						3																												139	
Casa en Venta en Laguna de Zempoala Apodaca Cerca de Plaza Sendero	Moderno Apodaca, Apodaca	$ 2,613,450	2		True			1	True	80					No	2	True						True	True							True			True			True							80	
Casa en Venta Valle de Las Palmas, Apodaca.	Las Palmas, Apodaca	$ 2,435,000	2					2		157						3																				2001								90	
FM CASA EN VENTA EN APODACA RESIDENCIAL	Apodaca Centro, Apodaca	$ 2,700,000	2					2		180						3																				2021								122	
Casa en Venta en Los Encinos	Los Encinos, Apodaca	$ 1,890,000	2					2		196						3																												98	
Casa en Venta en Modena	Moderno Apodaca, Apodaca	$ 1,300,000	1							7515						2																												115	
CASA EN VENTA EN COL. TRIANA PALMAS EN APODACA	Apodaca Centro, Apodaca	$ 1,400,000	2					1		115						3																												99	
Casa en Venta en Hacienda los Pinos	Hacienda los Pinos, Apodaca	$ 1,650,000	2					2		204						3																												109	
Casa - Acanto Residencial	Acanto Residencial, Apodaca	$ 1,730,000	2							202						3																												200	
Casa - Apodaca	Apodaca Centro, Apodaca	$ 2,846,000								159																																		112	
Casa en venta Privada MAGNOLIAS APODACA	Magnolias, Apodaca	$ 1,250,000	1.5		True			2		70					No	2		True			31/01/23		True	True							True			True	True		True							90	
V575 Venta  Casa Una planta Enramada 4.sector  Apodaca	La Enramada, Apodaca	$ 1,160,000	1				True	1		86					No	2					01/03/23		True	True	True			True																90	
Casa en Venta en Apodaca	Privalia Concordia, Apodaca	$ 2,395,000	2				True	2	True	160					No	3	True		True					True											True					True				119	
Recova, sector 2. Apodaca.	Recova Residencial, Apodaca	$ 2,200,000	2					2		167			5			3		True	True				True	True							True				True		True			True	True			117	
Gm Casa de Remate Bancario, Real Santa Rosa, Renaceres Residencial, Apodaca N. L	Renaceres Residencial, Apodaca	$ 566,000	2					1		112					No	2																												89	
GM CASA DE RECUPERACION BANCARIA, VESUBIO, BALCONES DE SANTA ROSA, APOCADA	Balcones de Santa Rosa, Apodaca	$ 962,000	2					2		119					No	2																												69	
Casa en Venta Privadas de Santa Rosa VI	Privadas de Santa Rosa, Apodaca	$ 1,700,000	2					2		145					No	3					24/10/22																							90	
Preventa de Consultorios Médicos en nueva plaza comercial en Huinalá, de 18 a 38 m2 d...	Huinalá, Apodaca	$ 718,000								18																										2023								18	
VENTA CASA EN REMATE BANCARIO EN Los Amarantos	Los Amarantos, Apodaca	$ 675,488	2							110						2																												110	
CASA EN VENTA  RESIDENCIAL LAS PROVINCIAS	Las Provincias, Apodaca	$ 2,800,000	2					2								3																												112	
HEEEEEY  VENDO CASA EN HACIENDA SANTA FE APODACA NUEVO LEON	Santa Fe, Apodaca	$ 1,070,000	2.5				True	2		132						3		True	True				True						True		True				True					True	True	True		132	
CASA en REMATE en Cerrada Providencia! JC	Apodaca Centro, Apodaca	$ 534,500	2													3																													
CASA EN JARDINES DE SAN PATRICIO, MONTERREY NUEVO LEON, CASA EN REMATE!	Jardines de San Patricio, Apodaca	$ 825,883	2	True			True	2		140					No	3			True					True				True			True											True		110	
Borneo, Sector Alondra. Apodaca. $2,200,000	Privadas Borneo, Apodaca	$ 2,200,000	2.5					2		154.5						3	True						True	True							True				True		True			True	True			105	True
VENDO CASA EN MISIÓN SAN PABLO, APODACA NUEVO LEÓN A MITAD DE PRECIO, EN REMATE..IH	Misión San Pablo, Apodaca	$ 565,288	1							95						2																												110	
CASA EN JARDINES DE SAN ANDRES APODACA A 5 MINUTOS DE PARQUE DIAMANTE NL	Jardines de San Andres Sector 2, Apodaca	$ 883,755	2					2		120					No	3							True		True																			120	
Casa Venta Valle la Rioja, Apodaca 3 Recamaras muy Equipada	Valle la Rioja, Apodaca	$ 2,000,000	3					2		142			6			3					01/10/22																							112	
CASA EN RENTA O VENTA EN ALTABRISA, APODACA, N.L .	Moderno Apodaca, Apodaca	$ 2,400,000	2							127						3																												119	
Casa en Venta en CONCORDIA 3 PLANTAS	Privalia Concordia, Apodaca	$ 3,100,000	3			True	True	2	True	207					No	3	True		True					True	True										True				True	True	True			127	True
HEEEEEY VENDO CASA EN JARDINES DE SAN PATRICIO APODACA NUEVO LEON	Jardines de San Patricio, Apodaca	$ 1,870,000	2.5					2	True	151			5.5			3		True					True		True										True					True		True		151	
VENDO CASA  VESUBIO BALCONES DE SANTA ROSA 1 APODACA NUEVO LEON MVA	Balcones de Santa Rosa, Apodaca	$ 1,231,100	1							114						2																												114	
Venta de casa en calle Zaragoza Valle de salduero colonia Apodaca Nuevo León	Valle del Salduero, Apodaca	$ 961,580	1.5					2		90					No	2							True											True							True			90	
CasasenVentaenSan Isidro	San Isidro I, Apodaca	$ 850,000	1							90						2																												90	
Privadas Borneo. $2,200,000	Privadas Borneo, Apodaca	$ 2,200,000	2.5					2	True	154						3		True		True			True	True				True			True			True	True		True			True	True			105	True
Vendo Casa  Fracc San Andres Apodaca	Fraccionamiento San Andres, Apodaca	$ 782,079	1													2																												90	
CASA EN VENTA JOYAS DEL PEDREGAL APODACA NUEVO LEON	Joyas Del Pedregal, Apodaca	$ 1,400,000	2					1		105						3																												90	
Casa en  Apodaca	Altaria Residencial, Apodaca	$ 1,444,284	1							157						3																												157	
Arbado, Sector Monarca.	Apodaca	$ 3,900,000	3					2	True	300			6			3				True			True	True											True		True		True	True	True			180	True
CASA EN VENTA	Misión de San Miguel, Apodaca	$ 900,000	1.5				True	1		61						2					21/09/22			True														Se aceptan créditos						90	
4F75568 Remate bancario en Renaceres Apodaca DM	Renaceres Residencial, Apodaca	$ 678,769	1					1		60			3			2					10/03/22																							80	
Gm Casa de Remate Bancario, Jazmines, Real de San Andres, Apodaca, Nuevo Leon.	Real de San Andres, Apodaca	$ 525,000	2					2		139					No	2																												89	
CasasenVentaenEx Hacienda San Francisco	Ex-Hacienda San Francisco, Apodaca	$ 1,550,000	1							72						2																												90	
Casa en Venta en Radica	Apodaca Centro, Apodaca	$ 1,990,000	3					2		200						3																												150	
CASA en REMATE en CRYSTAL LAGOONS! JC	Moderno Apodaca, Apodaca	$ 2,080,500	2							183						3																												180	
Remate Hipotecario, Fraccionamiento Altaria Residencial	Altaria Residencial, Apodaca	$ 1,444,285	2							156						3																												120	
CasasenVentaenMisión de las Flores	Apodaca Centro, Apodaca	$ 1,600,000	2							136						3																												112	
CASA EN VENTA EN HACIENDA LAS PALMAS, APODACA, NUEVO LEON.	Hacienda las Palmas, Apodaca	$ 2,500,000	3		True		True	1	True	161					No	4												True																90	
Venta Casa en Remate - 50% - Los Amarantos - Apodaca - NL	Los Amarantos, Apodaca	$ 472,000	1							120						3																												95	
PRO5536 Casas en Venta, Fracc. Las Golondrinas en Apodaca	Golondrinas, Apodaca	$ 1,550,000	2					2		152						3																												101	
CASA EN VENTA EN APODACA CENTRO	Apodaca Centro, Apodaca	$ 2,900,000	2					2		220						3																												152	
CasasenVentaenModerno Apodaca	Moderno Apodaca, Apodaca	$ 2,100,000	2							197						5																												152	
REMATO CASA en VALLE DE SAN MIGUEL!!! DB	Valle de San Miguel, Apodaca	$ 691,297	2							90						3																												90	
Casa en Venta en Almería	Apodaca Centro, Apodaca	$ 1,550,000	2					2		180						3																												136	
CASA EN VENTA EN DEPORTIVO HUINALA APODACA, N.L.	Huinalá, Apodaca	$ 1,200,000	1													2																													
Propiedad en venta en Cosmopolis Apodaca N.	Cosmópolis Metroplex, Apodaca	$ 1,200,000	2		True		True	2	True	129					No	2		True			02/03/23	True	True	True							True				True		True		True					85	
VENTA DE CASA	Apodaca	$ 3,500,000	3.5					2		213			6.5			3					20/10/22																							134	
VENTA DE CASA EN APODACA HUINALA CON ALBERCA	Apodaca Centro, Apodaca	$ 2,980,000	2					2		179						3																				2023								117	
CasasenVentaenEx Hacienda Santa Rosa	Exhacienda Santa Rosa, Apodaca	$ 1,050,000	1							48						1																												177	
Casa en Venta en Paseo Palmas I	Paseo Palmas I, Apodaca	$ 1,825,000	2					2		210						4																												90	
CASA EN VENTA RINCONADA COLONIAL ZONA APOCADA NUEVO LEON	Rinconada Colonial, Apodaca	$ 4,300,000	3							208						3																												120	
CASA VENTA. REMATE BANCARIO. LOS AMARANTOS, APODACA. N.L.	Los Amarantos, Apodaca	$ 787,311	1							80						2																												95	
Oficina en Venta en Los Robles	Los Robles, Apodaca	$ 1,560,000	1							150						2																												85	
CasasenVentaenMetroplex	Metroplex 1, Apodaca	$ 1,350,000	1							80						2																												85	
Casas Nuevas en Venta en Apodaca, NL	Apodaca	$ 2,370,000	2					2		159.53						3					01/03/22																							112	
CASA EN VENTA EN APODACA MONTERREY | PREVENTA	Apodaca Centro, Apodaca	$ 2,472,000	2					2		148						3																												112	
EN VENTA CASA CON ALBERCA Y TERRENO EXCEDENTE  EN MISIÓN DE FUNDADORES APODACA	Misión Fundadores, Apodaca	$ 3,490,000	2					4		256						4																												216	
CasasenVentaenlienzos	Alianza, Apodaca	$ 4,500,000	3							240						6																												277	
VENTA DE CASA EN METROPLEX REMODELADA	Metroplex 1, Apodaca	$ 900,000	1					1		75						2																				2013								85	
VENTA CASA REMATE BANCARIO  - Bosques de Huinal - MGL	Bosques de Huinalá, Apodaca	$ 1,740,050	2							110						3																												110	
CASA EN VENTA. LOS AMARANTOS, APODACA. N.L.	Los Amarantos, Apodaca	$ 771,003	1													2																												80	
Casa en Venta en Ébanos Norte	Los Ébanos Norte, Apodaca	$ 1,470,000	2							90						3																												170	
Casa en Venta en Deportivo Huinalá	Deportivo Huinalá, Apodaca	$ 1,100,000	1					1		72						2																												88	
CASA EN VENTA EN ZONA BOSQUE DE AGUA  EN APODACA, NUEVO LEON	Bosque de Agua, Apodaca	$ 2,950,000	2.5		True		True	2	True	172					No	3	True		True	True	13/01/23		True	True	True			True			True		True	True	True		True			True		True		172	True
OPORTUNIDAD BANCARIA EN RESIDENCIAL SAN BENITO APODACA NL	Benito Juárez, Apodaca	$ 788,078	1													2																												90	
CasasenVentaenFracc. Paraje Santa Rosa Sur	Santa Rosa, Apodaca	$ 2,100,000	2							137						3																												95	
VENDO CASA EN VALLE DE SAN MIGUEL APODACA NUEVO LEON	Valle de San Miguel, Apodaca	$ 705,905	1.5					1	True	90						2		True	True				True		True						True				True							True		90	
CASA EN VENTA	Apodaca	$ 4,200,000	3.5					2		202					No	3					24/10/22										True				True									120	
CASA EN VENTA EN VALLE LA RIOJA, APODACA, NUEVO LEON.	Valle la Rioja, Apodaca	$ 2,400,000	3.5		True		True	2	True	192					No	3			True					True				True			True				True		True		True	True				112	
Casa en venta, Residencial San Francisco, Apodaca NL,	San Francisco, Apodaca	$ 2,385,000	2					2		150						3																				2013								135	
Vendo Casa en San Benito cerca de la Plaza Sendero Apodaca	San Benito Del Lago, Apodaca	$ 749,280	1.5					2		100					No	2		True			22/11/22		True		True						True	True												1	
IP VENTA DE CASAS COMPLETAMENTE NUEVAS EN APODACA	Apodaca Centro, Apodaca	$ 3,272,000	3					2		207						3																				2023								127	
Gm Casa de Remate Bancario, Plumbago, Los Vitrales, Apodaca, Nuevo Leon	Los Vitrales, Apodaca	$ 893,443	2					1		119					No	2																												89	
Casas Nuevas en Venta en Apodaca, NL	Apodaca	$ 2,039,000	2					2	True	148.5			5			3					22/02/22			True				True							True									112	
Casa en Residencial Renaceres, Apodaca, calle MONTREAL JV	Renaceres Residencial, Apodaca	$ 1,193,682	2							115						3																												86	
Casa - Renaceres Residencial CJ	Renaceres Residencial, Apodaca	$ 1,193,682	1													3																													
REMATE - Casa - Montreal - Renaceres Residencial - Apodaca N.L. - MMO	Renaceres Residencial, Apodaca	$ 1,193,682	2							102						3																												86	
IP VENTA DE CASAS COMPLETAMENTE NUEVAS EN APODACA	Apodaca Centro, Apodaca	$ 2,746,000	2					2		159						2																				2023								112	
CASA EN VENTA EN ARIA RESIDENCIAL APODACA, NUEVO LEON.	Altaria Residencial, Apodaca	$ 2,680,000	2.5		True		True	2	True	167					No	3			True					True				True			True				True		True			True				137	True
Casa en Venta en Bosques de Olivo Apodaca Cerca de Villa Juarez	Bosques de Huinalá, Apodaca	$ 1,768,430	2		True			2		110					No	3	True		True				True	True										True			True					True		110	
Casa en Venta en Módena, Apodaca	Moderno Apodaca, Apodaca	$ 2,000,000	2					1		110						3																												98	
CASA EN VENTA EN BOSQUE REAL 2DO SECTOR	Bosque Real II, Apodaca	$ 1,600,000	3							202						4																												180	
Adalia desarrollo en Apodaca	Apodaca Centro, Apodaca	$ 2,580,000	4					2		180						3																												120	
Casa en venta en Apodaca	Arboledas de Santa Rosa, Apodaca	$ 1,800,000	2					2		180						3																				2010								113	
VENTA CASA EN REMATE BANCARIO EN ROGELIO MAYORCA MISION SAN PATRICIO NUEVOLEON	Misión San Patricio, Apodaca	$ 771,336	1													2																												90	
CasasenVentaenDream Lagoons	Apodaca Centro, Apodaca	$ 3,555,000	2							250						3																												140	
CASA VENTA APODACA COLONIA ALMERIA APODACA N.L.	Apodaca Centro, Apodaca	$ 2,550,000	2					2		208						3																												119	
Casas Nuevas en Venta en Apodaca, NL	Apodaca	$ 2,450,000	2.5					2		170.65					No	3					06/03/22												True											127.5	
Casas Nuevas en Venta, en Apodaca, Nuevo León	Apodaca	$ 2,817,000	2					2		207.9			5			3																												119	
Local en Venta en Av. Miguel Alemán, Apodaca	Parque Industrial Milimex, Apodaca	$ 2,650,000	1					2		38						1																				2020								38	
CASAS  RESIDENCIALES EN VENTA EN APODACA, N.L.	Apodaca Centro, Apodaca	$ 2,834,000	2													2																													
CASAS RESIDENCIALES  EN VENTA EN APODACA, N.L.	Apodaca Centro, Apodaca	$ 2,496,000	2							112						3																													
Local en Venta Apodaca	El Milagro, Apodaca	$ 2,200,000						1		49						1																				2020								49	
VENTA CASA REMATE BANCARIO - Casa en condominio - Renaceres Residencial - MGL	Renaceres Residencial, Apodaca	$ 1,193,682	1							90						3																												90	
CASA EN VENTA EN APODACA MONTERREY | PREVENTA	Apodaca Centro, Apodaca	$ 2,808,300	2					2		170						3																												127	
IP VENTA DE CASAS COMPLETAMENTE NUEVAS EN APODACA	Apodaca Centro, Apodaca	$ 2,834,000	2					2		170						3																				2023								127	
Venta Casa en Renaceres Residencial 2 recamaras PG	Renaceres Residencial, Apodaca	$ 1,337,234	1							90						2																												90	
CASA EN VENTA EN APODACA MONTERREY| PREVENTA	Apodaca Centro, Apodaca	$ 3,241,500	3					2		207						3																												127	
CASA en RENACERES RESIDENCIAL! DB	Renaceres Residencial, Apodaca	$ 1,193,682	2							90						3																												90	
Casa en Remate Bancario Martin Luther King Los Amarantos Apodaca NL-FMM	Los Amarantos, Apodaca	$ 976,702	2													3																												83	
CASA EN VENTA EN APODACA MONTERREY|PREVENTA	Apodaca Centro, Apodaca	$ 2,720,000	2					2		159						3																												112	
JF CASA EN VENTA EN LAS GOLONDRINAS APODACA	Golondrinas, Apodaca	$ 1,800,000	1							156						3																				2003								98	
CasasenVentaenDream Lagoons	Apodaca Centro, Apodaca	$ 3,100,000	2							145						3																												169	
Casa en Venta en Los Murales, Apodaca	Exhacienda Santa Rosa, Apodaca	$ 2,200,000	2							177						3																												123	
Casa en Venta en Fuentes de Santa Lucia	Santa Lucia, Apodaca	$ 1,200,000	1					2		90						3																												110	
Casa en Venta en PRIVADAS MISIÓN SAN JOSE	Misión San Jose, Apodaca	$ 1,890,000	2					2		181						3																												115	
Casa en venta Hacienda Santa Fe, Apodaca N.L.	Hacienda Santa Fe, Apodaca	$ 3,500,000	2					3		260						3																				2018								210	
Gm Casa de Remate Bancario, Amaranto, Jardines de San Andres, Apodaca, NL.	Jardines de San Andres Sector 2, Apodaca	$ 853,896	2					2		119					No	2																												89	
Casa en Los Lienzos Residencial (Apodaca) $2,300,000	Apodaca	$ 2,300,000	3.5					2		151					No	3																												105	
Casa en Venta en Apodaca, Nuevo Leon	Apodaca Centro, Apodaca	$ 2,550,000	2					2		140						3																												168	
Casa en venta en Santo Domingo en Apodaca	Apodaca Centro, Apodaca	$ 2,963,745	2					2		152						3																												112	
CASA EN VENTA EN TRIANA 1ER SECTOR EN APODACA NUEVO LEON	Apodaca Centro, Apodaca	$ 1,490,000	1					1		100						2																												90	
CASA EN VENTA EN RESERVA ACANTO, APODACA	Apodaca Centro, Apodaca	$ 2,700,000	2							144						3																												100	
Casa en Venta en Amberes Residencial	Apodaca Centro, Apodaca	$ 1,990,000	2					2		98						3																												158	
Casa en Venta en Estancias Valle de Plata	Apodaca Centro, Apodaca	$ 1,971,000	2					2		140						3																												112	
Casa en Venta en Cerradas Magenta	Apodaca Centro, Apodaca	$ 1,980,000	2							121						3																												130	
Venta casa en Reserva Acanto Sector Olmos Apodaca	Apodaca Centro, Apodaca	$ 2,700,000	3					1								3																												100	
VENTA DE CASA EN ZONA NORTE CARRETERA SANTA ROSA, APODACA, NL	Cosmópolis Metroplex, Apodaca	$ 1,500,000	1					2		129						2																												85	
CasasenVentaenSanta Rosa	Santa Rosa, Apodaca	$ 1,800,000	2							116						2																												132	
Casa en Venta en Misión de Huinalá	Misión de Huinalá, Apodaca	$ 1,075,000	1					1		74						2																												96	
CASA EN VENTA $1,011,150 POR REMATE BANCARIO COL JARDINES DE HUINALA, ADJUDICADA	Jardines de Huinalá, Apodaca	$ 1,011,150	2					1		105						3				True		True		True				True	True			True		True			True					True		105	
Casa en Venta en Acanto Residencial	Acanto Residencial, Apodaca	$ 1,250,000	3					2		149						3																												11204	
MISION DE FUNDADORES Casa en Venta en Apodaca MZC (?????)	Moderno Apodaca, Apodaca	$ 1,260,000	2					2		67						2																												108	
Casa en Venta en Privalia Concordia	Privalia Concordia, Apodaca	$ 1,950,000	2					2		100						3																												112	
Casa en Venta en Paraje Santa Rosa Sector Norte	Paraje Santa Rosa, Apodaca	$ 1,400,000	2					2		127						3																												96	
Casa en Venta en Los Fresnos Primer Sector	Los Fresnos Norte, Apodaca	$ 1,350,000	1							105						3																												105	
Casa en Venta en Acanto Residencial, Apodaca	Acanto Residencial, Apodaca	$ 1,450,000	2							90						3																												109	
Casa en Venta en Paraje Santa Rosa	Paraje Santa Rosa, Apodaca	$ 1,650,000	2					1		127						3																												95	
Hermosa casa en venta, Excelente hubicacion	Misión de San Miguel, Apodaca	$ 850,000	2							615					Yes	2																												90	
Casa En Venta Apodaca	MIRASOL, Apodaca	$ 930,000	1					1		109						3					04/06/22			True																				84	
Casa en Venta en Valle de las Palmas Primer Sector	Las Palmas, Apodaca	$ 1,290,000	2							134						3																												90	
Casa en venta Riveras de Loreto, Apodaca	Bosques de Huinalá, Apodaca	$ 995,000	1					2		65						2																												90	
CasasenVentaenMoneta Residencial	Madeira Residencial, Apodaca	$ 2,808,300	2							171						3																												128	
Casa - Santa Cecilia	Santa Cecilia, Apodaca	$ 1,000,592	1							160						3																												90	
CasasenVentaenLos Robles	Los Robles, Apodaca	$ 1,800,000	2							160						3																												85	
Casa - Los Amarantos	Los Amarantos, Apodaca	$ 514,100	1							65						2																												65	
CASA EN REMATE HIPOTECARIO PRIVADAS PREMIER APODACA NUEVO LEON JG	Privada Premier, Apodaca	$ 1,307,969	2													3																												120	
Casa en Venta Col. Golondrinas Apodaca, Nuevo León	San Miguel Golondrinas I, Apodaca	$ 990,000	1					2		100						5																				1995								90	
Casa en Venta en Privadas de Santa Rosa	Privadas de Santa Rosa, Apodaca	$ 1,260,000	2					2		130						3																												90	
Casa en Venta en Bosque Boreal	Bosque Boreal, Apodaca	$ 1,500,000	1					2		87						2																												105	
Casa en Venta en Valle de Salduero	Valle del Salduero, Apodaca	$ 1,100,000	1					1		90						2																												100	
Casa en Venta en Encinos Residencial	Los Encinos Residencial, Apodaca	$ 1,914,000	2					2		167						3																												98	
Casa en Venta en Privadas de Santa Rosa	Privadas de Santa Rosa, Apodaca	$ 1,900,000	1					2		180						3																												210	
Casa en Venta en Real Hacienda de Huinala	Real Hacienda de Huinalá, Apodaca	$ 1,257,000	1					1		109						3																												90	
Casa en Venta en Paraje Santa Rosa Sector Norte	Paraje Santa Rosa, Apodaca	$ 1,450,000	1							100						3																												95	
Casa en Venta en Residencial Apodaca	Residencial Apodaca, Apodaca	$ 1,550,000	2					1		144						3																												125	
Casa en Venta en Rincón de los Cristales	Rincón de los Cristales, Apodaca	$ 1,400,000	1							75						2																												90	
TRIANA RESIDENCIAL Casa en VENTA EQUIPADA en Apodaca MZC (?????)	Apodaca Centro, Apodaca	$ 1,290,000	1					1		86						2																												90	
CASA EN REMATE, PORTAL DE ANAHUAC, APODACA, NUEVO LEON, ACCESO PRIVADO.	Portal Anáhuac, Apodaca	$ 1,156,700	2					2		180					No	3						True						True																150	
Casa nueva en venta Altabrisa Premier	Apodaca Centro, Apodaca	$ 2,790,000	2					2								3																													
Casa en Venta en Residencial Apodaca	Residencial Apodaca, Apodaca	$ 1,900,000	2					2		135						3																												126	
Casa en Venta en Paseo de Santa Rosa	Paseo Santa Rosa, Apodaca	$ 1,060,000	1					1		100						2																												90	
Casa en Fracc. Los Encinos Residencial, Apodaca, Nuevo León. **Remate**.	Los Encinos Residencial, Apodaca	$ 990,100	3					2		140						4																												110	
Casa en Venta en Fresnos IV	Fresnos IV, Apodaca	$ 1,450,000	2					2		146						3																												84	
LINDA CASA EN FRACCIONAMIENTO APODACA NUEVO LEON	Villas Premier, Apodaca	$ 825,000	2					2		89					No	2																												100	
Casa en Venta en FRACCIONAMIENTO LOS ASTURES	Fraccionamiento San Andres, Apodaca	$ 1,079,000	2					1		84						3																												98	
Casa en Venta en fracc jardines de san patricio	Jardines de San Patricio, Apodaca	$ 1,150,000	1					2		99						3																												106	
CASA EN FRACCIONAMIENTO ANTIGUA SANTA ROSA, APODACA, NUEVO LEON, REMATE BANCARIO	Antigua Santa Rosa, Apodaca	$ 341,921	2					1		180					No	4					09/10/22																							120	
Casa en Venta en Misión de San José Privadas	Misión San Jose, Apodaca	$ 1,549,000	2							120						3																												105	
Casa en Venta en Hacienda del Mezquital	Hacienda Del Mezquital, Apodaca	$ 1,375,000	2					1		75						3																												90	
CASA EN VENTA EN PRIVADAS DEL PARQUE, APODACA	Privadas Del Parque, Apodaca	$ 2,400,000	2					2		180						3																				2004								119	
Casa en Venta en Encinos Residencial	Los Encinos Residencial, Apodaca	$ 1,094,050	2					1		180						4																												80	
Casa en Venta en Hacienda las Palmas	Hacienda las Palmas, Apodaca	$ 1,030,000	1					1		75						3																												90	
Casa en Venta en Misión de San José Privadas	Misión San Jose, Apodaca	$ 1,600,000	2					2		120						3																												112	
Casa en Venta en Arboledas de Santa Rosa, Apodaca N.L.	Arboledas de Santa Rosa, Apodaca	$ 660,000	1					1		55						2																				2013								52	
Casa en Venta, Apodaca, Nuevo León	Moderno Apodaca, Apodaca	$ 2,000,000	2					2		177						3																												168	
Casa en Venta en Residencial Palmas	Las Palmas, Apodaca	$ 1,500,000	1					2		170						3																												90	
CASA EN VENTA EN PASEO DE LAS PALMAS CIUDAD DE APODACA NUEVO LEON ADJUDICACADA	Paseo Palmas I, Apodaca	$ 404,000	2					1		100					No	3		True					True																					110	
Casa en venta Moderno Apodaca II, Apodaca N.L	Moderno Apodaca, Apodaca	$ 2,450,000	3					2		156						3																				2016								112	
CASA EN VENTA COL VALLE DE SAN MIGUEL APODACA NUEVO LEON	Valle de San Miguel, Apodaca	$ 1,140,000	1.5					1		94					No	3																												90	
Casa en Venta en Apodaca Centro	Burócratas Municipales, Apodaca	$ 1,800,000	2							80						3																												160	
CASA EN VENTA EN RENACERES RESIDENCIAL,  APODACA, NL ADJUDICADA	Renaceres Residencial, Apodaca	$ 715,850	1					1		55						2		True					True																					90	
ALTARIA RESIDENCIAL Casa en Venta en Apodaca MZC	Apodaca Centro, Apodaca	$ 1,650,000	2					2		127						3																												90	
Casa en Venta en Residencial Palmas	Las Palmas, Apodaca	$ 1,450,000	2							95						3																												105	
EXCELENTE VENTA DE CASA EN NUEVO LEÓN, NO SÉ ACEPTAN CRÉDITOS.	Misión San Patricio, Apodaca	$ 731,336	2					1		70						3																		True										70	
(LR). ¡Urge! Vendo Casa Amplia Casa en Apodaca A 10 Min. de Triara Mty.	Residencial Apodaca, Apodaca	$ 560,000	2		True			2		110					No	3	True				30/03/23		True				True	True				True		True	True		True							100	
Gm Casa de Remate Bancario, Garcia Marquez, Santa Cecilia, Apodaca, NL.	Santa Cecilia, Apodaca	$ 738,834	2					1		129					No	3																												112	
HERMOSA CASA EN VENTA APODACA NUEVO LEON $925,000	Insurgentes, Apodaca	$ 925,000	3					1		120						3																												120	
Casa en Fracc. Valle de San Miguel, Apodaca, Nuevo León. Remate! int-lr	Valle de San Miguel, Apodaca	$ 497,000	2					1		90						3			True					True				True			True				True							True		90	
Casa en Venta en Cerradas de Santa Rosa	Cerradas de Santa Rosa, Apodaca	$ 1,388,807	1					2		180						3																												100	
Casa en Venta en Santa Cecilia	Santa Cecilia, Apodaca	$ 1,500,000	2					1		124						3																												105	
MP-CASA VENTA REMATE  BANCARIO  NO CREDITOS Los AmarantosApodacaNUEVO LEON	Los Amarantos, Apodaca	$ 595,000	2					1		100					No	3																												100	
MGM. CASA DE REMATE BANCARIO.CEDRO, EBANOS NORTE APODACA N.L	Los Ébanos Norte, Apodaca	$ 600,000	2					2		180						3																												113	
